,ID,yr,cm,annualprec,summerpdsi,wintertemp
39,735,2011,40.9,2.0694,-0.3875,5.133333333
40,639,1998,13.5,1.765,-0.795,5.633333333
41,639,2002,14.2,1.8056,-1.055,5.4
42,639,2004,14.3,1.8532,-0.795,5.1
43,639,2006,15.1,1.4533,-2.0425,5.666666667
44,639,2008,15.6,1.5392,-2.47,4.833333333
45,639,2010,16,1.4914,-1.5675,2.033333333
46,639,2011,16.4,2.0694,-0.3875,5.133333333
47,732,1998,40.7,1.765,-0.795,5.633333333
48,732,2002,41.8,1.8056,-1.055,5.4
49,732,2004,42.5,1.8532,-0.795,5.1
50,732,2006,43,1.4533,-2.0425,5.666666667
51,732,2008,43.6,1.5392,-2.47,4.833333333
52,732,2010,44.7,1.4914,-1.5675,2.033333333
53,732,2011,45.2,2.0694,-0.3875,5.133333333
54,11,1998,2.2,1.765,-0.795,5.633333333
55,11,2002,2.5,1.8056,-1.055,5.4
56,11,2004,2.2,1.8532,-0.795,5.1
57,11,2006,2.3,1.4533,-2.0425,5.666666667
58,11,2008,2.3,1.5392,-2.47,4.833333333
59,11,2010,2.1,1.4914,-1.5675,2.033333333
60,912,1998,17.7,1.765,-0.795,5.633333333
61,912,2002,17.5,1.8056,-1.055,5.4
62,912,2004,18.7,1.8532,-0.795,5.1
63,912,2006,19.2,1.4533,-2.0425,5.666666667
64,912,2008,19.6,1.5392,-2.47,4.833333333
65,912,2010,20.4,1.4914,-1.5675,2.033333333
66,912,2011,20.5,2.0694,-0.3875,5.133333333
67,907,1998,2.3,1.765,-0.795,5.633333333
68,907,2002,2.8,1.8056,-1.055,5.4
69,907,2004,3.2,1.8532,-0.795,5.1
70,907,2006,3.2,1.4533,-2.0425,5.666666667
71,907,2008,4,1.5392,-2.47,4.833333333
72,907,2010,4.5,1.4914,-1.5675,2.033333333
73,907,2011,4.5,2.0694,-0.3875,5.133333333
74,504,1998,41.8,1.765,-0.795,5.633333333
75,504,2002,43.6,1.8056,-1.055,5.4
76,504,2004,44.5,1.8532,-0.795,5.1
77,504,2006,45.6,1.4533,-2.0425,5.666666667
78,504,2008,46.9,1.5392,-2.47,4.833333333
79,504,2010,47.8,1.4914,-1.5675,2.033333333
80,504,2011,48.8,2.0694,-0.3875,5.133333333
81,733,1998,11.9,1.765,-0.795,5.633333333
82,733,2002,13.1,1.8056,-1.055,5.4
83,733,2004,14.3,1.8532,-0.795,5.1
84,733,2006,15.5,1.4533,-2.0425,5.666666667
85,733,2008,16.2,1.5392,-2.47,4.833333333
86,733,2010,16.3,1.4914,-1.5675,2.033333333
87,733,2011,16.3,2.0694,-0.3875,5.133333333
88,903,1998,27.6,1.765,-0.795,5.633333333
89,903,2002,25.1,1.8056,-1.055,5.4
90,903,2004,28.4,1.8532,-0.795,5.1
91,903,2006,28.6,1.4533,-2.0425,5.666666667
92,903,2008,29.1,1.5392,-2.47,4.833333333
93,903,2010,29.4,1.4914,-1.5675,2.033333333
94,903,2011,29.6,2.0694,-0.3875,5.133333333
95,963,1998,46.5,1.765,-0.795,5.633333333
96,963,2002,46.4,1.8056,-1.055,5.4
97,963,2004,45.9,1.8532,-0.795,5.1
98,963,2010,46.1,1.4914,-1.5675,2.033333333
99,963,2011,44.9,2.0694,-0.3875,5.133333333
100,506,1998,31.5,1.765,-0.795,5.633333333
101,506,2002,31.8,1.8056,-1.055,5.4
102,506,2004,32,1.8532,-0.795,5.1
103,506,2006,32.3,1.4533,-2.0425,5.666666667
104,506,2008,32.5,1.5392,-2.47,4.833333333
105,506,2010,32.4,1.4914,-1.5675,2.033333333
106,506,2011,32.5,2.0694,-0.3875,5.133333333
107,14,1998,16.4,1.765,-0.795,5.633333333
108,14,2002,19.7,1.8056,-1.055,5.4
109,14,2004,21.4,1.8532,-0.795,5.1
110,14,2006,22.9,1.4533,-2.0425,5.666666667
111,14,2008,24,1.5392,-2.47,4.833333333
112,14,2010,24.3,1.4914,-1.5675,2.033333333
113,14,2011,24.3,2.0694,-0.3875,5.133333333
114,505,1998,2.4,1.765,-0.795,5.633333333
115,505,2002,2.5,1.8056,-1.055,5.4
116,505,2004,2.4,1.8532,-0.795,5.1
117,505,2006,2.4,1.4533,-2.0425,5.666666667
118,505,2008,2.4,1.5392,-2.47,4.833333333
119,505,2010,2.4,1.4914,-1.5675,2.033333333
120,505,2011,2.4,2.0694,-0.3875,5.133333333
121,701,1998,6.1,1.765,-0.795,5.633333333
122,701,2002,6.3,1.8056,-1.055,5.4
123,701,2004,7.1,1.8532,-0.795,5.1
124,701,2006,7.3,1.4533,-2.0425,5.666666667
125,701,2008,5.4,1.5392,-2.47,4.833333333
126,701,2010,5.2,1.4914,-1.5675,2.033333333
127,701,2011,5.3,2.0694,-0.3875,5.133333333
128,644,1998,23.5,1.765,-0.795,5.633333333
129,644,2002,23.9,1.8056,-1.055,5.4
130,644,2004,24.6,1.8532,-0.795,5.1
131,644,2006,25.3,1.4533,-2.0425,5.666666667
132,644,2008,25.5,1.5392,-2.47,4.833333333
133,644,2010,26,1.4914,-1.5675,2.033333333
134,644,2011,26.3,2.0694,-0.3875,5.133333333
135,905,1998,2.3,1.765,-0.795,5.633333333
136,905,2002,2.5,1.8056,-1.055,5.4
137,905,2004,2.4,1.8532,-0.795,5.1
138,905,2006,2.4,1.4533,-2.0425,5.666666667
139,905,2008,2.5,1.5392,-2.47,4.833333333
140,960,1998,5.9,1.765,-0.795,5.633333333
141,960,2002,5.9,1.8056,-1.055,5.4
142,960,2004,6.1,1.8532,-0.795,5.1
143,960,2006,6.2,1.4533,-2.0425,5.666666667
144,960,2008,6.2,1.5392,-2.47,4.833333333
145,960,2010,6.2,1.4914,-1.5675,2.033333333
146,960,2011,6.3,2.0694,-0.3875,5.133333333
147,1269,2008,1.8,1.5392,-2.47,4.833333333
148,1269,2010,2.4,1.4914,-1.5675,2.033333333
149,1269,2011,2.7,2.0694,-0.3875,5.133333333
150,700,1998,23.4,1.765,-0.795,5.633333333
151,700,2002,23.8,1.8056,-1.055,5.4
152,700,2004,24,1.8532,-0.795,5.1
153,700,2006,24.5,1.4533,-2.0425,5.666666667
154,700,2008,24.7,1.5392,-2.47,4.833333333
155,700,2010,25.1,1.4914,-1.5675,2.033333333
156,700,2011,25.6,2.0694,-0.3875,5.133333333
157,518,1998,14.3,1.765,-0.795,5.633333333
158,518,2002,14.6,1.8056,-1.055,5.4
159,518,2004,14.7,1.8532,-0.795,5.1
160,518,2006,15.3,1.4533,-2.0425,5.666666667
161,518,2008,15.6,1.5392,-2.47,4.833333333
162,518,2010,15.7,1.4914,-1.5675,2.033333333
163,518,2011,16,2.0694,-0.3875,5.133333333
164,914,1998,19.1,1.765,-0.795,5.633333333
165,914,2002,19.7,1.8056,-1.055,5.4
166,914,2004,21.3,1.8532,-0.795,5.1
167,914,2006,21.5,1.4533,-2.0425,5.666666667
168,914,2008,22.3,1.5392,-2.47,4.833333333
169,914,2010,23.5,1.4914,-1.5675,2.033333333
170,914,2011,23.9,2.0694,-0.3875,5.133333333
171,1111,2007,1.6,1.2303,-2.835,5.866666667
172,1111,2008,1.6,1.5392,-2.47,4.833333333
173,1111,2010,1.7,1.4914,-1.5675,2.033333333
174,1111,2011,1.9,2.0694,-0.3875,5.133333333
175,910,1998,6.7,1.765,-0.795,5.633333333
176,910,2002,6.8,1.8056,-1.055,5.4
177,910,2004,7.1,1.8532,-0.795,5.1
178,910,2006,7.1,1.4533,-2.0425,5.666666667
179,910,2008,7.4,1.5392,-2.47,4.833333333
180,910,2010,7.5,1.4914,-1.5675,2.033333333
181,910,2011,7.5,2.0694,-0.3875,5.133333333
182,900,1998,8.2,1.765,-0.795,5.633333333
183,900,2002,8.5,1.8056,-1.055,5.4
184,900,2004,8.5,1.8532,-0.795,5.1
185,900,2006,8.5,1.4533,-2.0425,5.666666667
186,900,2008,8.7,1.5392,-2.47,4.833333333
187,900,2010,9.3,1.4914,-1.5675,2.033333333
188,900,2011,9.3,2.0694,-0.3875,5.133333333
189,957,1998,10.5,1.765,-0.795,5.633333333
190,957,2002,10.6,1.8056,-1.055,5.4
191,957,2004,10.8,1.8532,-0.795,5.1
192,1272,2008,1.3,1.5392,-2.47,4.833333333
193,1272,2010,1.5,1.4914,-1.5675,2.033333333
194,1272,2011,1.5,2.0694,-0.3875,5.133333333
195,959,1998,18.5,1.765,-0.795,5.633333333
196,959,2002,19.1,1.8056,-1.055,5.4
197,959,2004,19.7,1.8532,-0.795,5.1
198,959,2006,20.4,1.4533,-2.0425,5.666666667
199,959,2008,20.8,1.5392,-2.47,4.833333333
200,959,2010,21.3,1.4914,-1.5675,2.033333333
201,959,2011,21.9,2.0694,-0.3875,5.133333333
202,501,1998,3.1,1.765,-0.795,5.633333333
203,501,2002,4.8,1.8056,-1.055,5.4
204,501,2004,5.7,1.8532,-0.795,5.1
205,501,2006,5.8,1.4533,-2.0425,5.666666667
206,501,2008,6.1,1.5392,-2.47,4.833333333
207,501,2010,6.8,1.4914,-1.5675,2.033333333
208,501,2011,7.4,2.0694,-0.3875,5.133333333
209,1079,2004,14.2,1.8532,-0.795,5.1
210,1079,2006,14.9,1.4533,-2.0425,5.666666667
211,1079,2008,14.9,1.5392,-2.47,4.833333333
212,1079,2010,15,1.4914,-1.5675,2.033333333
213,1079,2011,15.6,2.0694,-0.3875,5.133333333
214,1123,2007,1.5,1.2303,-2.835,5.866666667
215,1123,2008,1.5,1.5392,-2.47,4.833333333
216,1123,2010,1.5,1.4914,-1.5675,2.033333333
217,1123,2011,1.6,2.0694,-0.3875,5.133333333
218,1135,2007,0.9,1.2303,-2.835,5.866666667
219,1135,2008,1,1.5392,-2.47,4.833333333
220,1135,2010,1.2,1.4914,-1.5675,2.033333333
221,955,1998,17.2,1.765,-0.795,5.633333333
222,955,2002,17.4,1.8056,-1.055,5.4
223,955,2004,17.7,1.8532,-0.795,5.1
224,955,2006,17.9,1.4533,-2.0425,5.666666667
225,955,2008,18.2,1.5392,-2.47,4.833333333
226,955,2010,18.7,1.4914,-1.5675,2.033333333
227,955,2011,19,2.0694,-0.3875,5.133333333
228,643,1998,18.6,1.765,-0.795,5.633333333
229,643,2002,18.8,1.8056,-1.055,5.4
230,643,2004,19.4,1.8532,-0.795,5.1
231,643,2006,20,1.4533,-2.0425,5.666666667
232,643,2008,20.4,1.5392,-2.47,4.833333333
233,643,2010,20.7,1.4914,-1.5675,2.033333333
234,643,2011,21.1,2.0694,-0.3875,5.133333333
235,699,1998,2.3,1.765,-0.795,5.633333333
236,699,2002,2.4,1.8056,-1.055,5.4
237,699,2004,2.4,1.8532,-0.795,5.1
238,699,2006,2.4,1.4533,-2.0425,5.666666667
239,699,2008,2.3,1.5392,-2.47,4.833333333
240,699,2010,2.1,1.4914,-1.5675,2.033333333
241,734,1998,6.3,1.765,-0.795,5.633333333
242,734,2002,6.9,1.8056,-1.055,5.4
243,734,2004,7.4,1.8532,-0.795,5.1
244,734,2006,7.7,1.4533,-2.0425,5.666666667
245,734,2008,8.2,1.5392,-2.47,4.833333333
246,734,2010,8.6,1.4914,-1.5675,2.033333333
247,734,2011,9,2.0694,-0.3875,5.133333333
248,897,1998,4.7,1.765,-0.795,5.633333333
249,897,2002,4.8,1.8056,-1.055,5.4
250,897,2004,5.4,1.8532,-0.795,5.1
251,897,2006,5.7,1.4533,-2.0425,5.666666667
252,897,2008,6.2,1.5392,-2.47,4.833333333
253,897,2010,6.3,1.4914,-1.5675,2.033333333
254,897,2011,6.5,2.0694,-0.3875,5.133333333
255,642,1998,16.2,1.765,-0.795,5.633333333
256,642,2002,16.2,1.8056,-1.055,5.4
257,642,2004,16.5,1.8532,-0.795,5.1
258,642,2006,16.5,1.4533,-2.0425,5.666666667
259,642,2008,16.7,1.5392,-2.47,4.833333333
260,642,2010,16.9,1.4914,-1.5675,2.033333333
261,642,2011,17.3,2.0694,-0.3875,5.133333333
262,1119,2007,2.1,1.2303,-2.835,5.866666667
263,1119,2008,2.2,1.5392,-2.47,4.833333333
264,1119,2010,3.4,1.4914,-1.5675,2.033333333
265,1119,2011,4.1,2.0694,-0.3875,5.133333333
266,1124,2007,0.8,1.2303,-2.835,5.866666667
267,1124,2008,0.9,1.5392,-2.47,4.833333333
268,1124,2010,0.9,1.4914,-1.5675,2.033333333
269,1124,2011,1,2.0694,-0.3875,5.133333333
270,633,1998,11,1.765,-0.795,5.633333333
271,633,2002,11.3,1.8056,-1.055,5.4
272,633,2004,11,1.8532,-0.795,5.1
273,452,1998,38.4,1.765,-0.795,5.633333333
274,452,2002,39.7,1.8056,-1.055,5.4
275,452,2004,39.6,1.8532,-0.795,5.1
276,452,2006,39.5,1.4533,-2.0425,5.666666667
277,452,2008,39.9,1.5392,-2.47,4.833333333
278,452,2010,40.7,1.4914,-1.5675,2.033333333
279,452,2011,41.8,2.0694,-0.3875,5.133333333
280,916,1998,3,1.765,-0.795,5.633333333
281,916,2002,4.3,1.8056,-1.055,5.4
282,916,2004,5.4,1.8532,-0.795,5.1
283,916,2006,6.2,1.4533,-2.0425,5.666666667
284,916,2008,7.1,1.5392,-2.47,4.833333333
285,916,2010,8,1.4914,-1.5675,2.033333333
286,916,2011,8.5,2.0694,-0.3875,5.133333333
287,974,1998,2.4,1.765,-0.795,5.633333333
288,974,2002,2.4,1.8056,-1.055,5.4
289,974,2004,2.5,1.8532,-0.795,5.1
290,974,2006,2.5,1.4533,-2.0425,5.666666667
291,974,2008,2.5,1.5392,-2.47,4.833333333
292,974,2010,2.5,1.4914,-1.5675,2.033333333
293,974,2011,2.5,2.0694,-0.3875,5.133333333
294,277,1998,14.4,1.765,-0.795,5.633333333
295,277,2002,16.6,1.8056,-1.055,5.4
296,277,2004,18.9,1.8532,-0.795,5.1
297,277,2006,20.7,1.4533,-2.0425,5.666666667
298,277,2008,21.7,1.5392,-2.47,4.833333333
299,277,2010,22,1.4914,-1.5675,2.033333333
300,287,1998,7.6,1.765,-0.795,5.633333333
301,287,2002,9.2,1.8056,-1.055,5.4
302,287,2004,10.3,1.8532,-0.795,5.1
303,287,2006,11.3,1.4533,-2.0425,5.666666667
304,287,2008,12,1.5392,-2.47,4.833333333
305,287,2010,12.4,1.4914,-1.5675,2.033333333
306,287,2011,12.1,2.0694,-0.3875,5.133333333
307,972,1998,23.4,1.765,-0.795,5.633333333
308,972,2002,23.6,1.8056,-1.055,5.4
309,972,2004,24.3,1.8532,-0.795,5.1
310,972,2006,25,1.4533,-2.0425,5.666666667
311,972,2008,25.7,1.5392,-2.47,4.833333333
312,972,2010,26.3,1.4914,-1.5675,2.033333333
313,972,2011,26.8,2.0694,-0.3875,5.133333333
314,694,1998,9.6,1.765,-0.795,5.633333333
315,694,2002,9.7,1.8056,-1.055,5.4
316,694,2004,9.7,1.8532,-0.795,5.1
317,694,2006,9.9,1.4533,-2.0425,5.666666667
318,694,2008,9.9,1.5392,-2.47,4.833333333
319,694,2010,9.6,1.4914,-1.5675,2.033333333
320,694,2011,9.6,2.0694,-0.3875,5.133333333
321,1125,2007,1.2,1.2303,-2.835,5.866666667
322,1125,2008,1.3,1.5392,-2.47,4.833333333
323,1125,2010,2.1,1.4914,-1.5675,2.033333333
324,1125,2011,2.4,2.0694,-0.3875,5.133333333
325,1126,2007,0.8,1.2303,-2.835,5.866666667
326,1126,2008,0.8,1.5392,-2.47,4.833333333
327,1126,2010,1.1,1.4914,-1.5675,2.033333333
328,1126,2011,1,2.0694,-0.3875,5.133333333
329,1131,2007,1.6,1.2303,-2.835,5.866666667
330,1131,2008,1.7,1.5392,-2.47,4.833333333
331,1131,2010,1.9,1.4914,-1.5675,2.033333333
332,1131,2011,2,2.0694,-0.3875,5.133333333
333,698,1998,13,1.765,-0.795,5.633333333
334,698,2002,13.6,1.8056,-1.055,5.4
335,698,2004,13.8,1.8532,-0.795,5.1
336,698,2006,13.9,1.4533,-2.0425,5.666666667
337,698,2008,14.1,1.5392,-2.47,4.833333333
338,698,2010,14.6,1.4914,-1.5675,2.033333333
339,698,2011,15.1,2.0694,-0.3875,5.133333333
340,697,1998,3.6,1.765,-0.795,5.633333333
341,697,2002,3.8,1.8056,-1.055,5.4
342,697,2004,3.4,1.8532,-0.795,5.1
343,1112,2007,0.7,1.2303,-2.835,5.866666667
344,1112,2008,0.8,1.5392,-2.47,4.833333333
345,1112,2010,1,1.4914,-1.5675,2.033333333
346,1112,2011,0.8,2.0694,-0.3875,5.133333333
347,696,1998,3.7,1.765,-0.795,5.633333333
348,696,2002,3.9,1.8056,-1.055,5.4
349,696,2004,3.6,1.8532,-0.795,5.1
350,731,1998,8.7,1.765,-0.795,5.633333333
351,731,2002,8.9,1.8056,-1.055,5.4
352,731,2004,8.7,1.8532,-0.795,5.1
353,731,2006,8.7,1.4533,-2.0425,5.666666667
354,731,2008,8.8,1.5392,-2.47,4.833333333
355,731,2010,9.1,1.4914,-1.5675,2.033333333
356,731,2011,9.1,2.0694,-0.3875,5.133333333
357,919,1998,12.7,1.765,-0.795,5.633333333
358,919,2002,13.1,1.8056,-1.055,5.4
359,919,2004,13.1,1.8532,-0.795,5.1
360,919,2006,13.2,1.4533,-2.0425,5.666666667
361,919,2008,13.6,1.5392,-2.47,4.833333333
362,919,2010,13.8,1.4914,-1.5675,2.033333333
363,919,2011,14.2,2.0694,-0.3875,5.133333333
364,1130,2007,0.7,1.2303,-2.835,5.866666667
365,1130,2008,0.7,1.5392,-2.47,4.833333333
366,1133,2007,1.5,1.2303,-2.835,5.866666667
367,1133,2008,1.4,1.5392,-2.47,4.833333333
368,1133,2010,1.5,1.4914,-1.5675,2.033333333
369,1133,2011,1.2,2.0694,-0.3875,5.133333333
370,1365,2010,1.9,1.4914,-1.5675,2.033333333
371,1365,2011,1.7,2.0694,-0.3875,5.133333333
372,736,1998,24.1,1.765,-0.795,5.633333333
373,736,2002,23.8,1.8056,-1.055,5.4
374,736,2004,23.7,1.8532,-0.795,5.1
375,736,2006,23.7,1.4533,-2.0425,5.666666667
376,736,2008,23.6,1.5392,-2.47,4.833333333
377,736,2010,23.7,1.4914,-1.5675,2.033333333
378,736,2011,23.8,2.0694,-0.3875,5.133333333
379,740,1998,10.3,1.765,-0.795,5.633333333
380,740,2002,10,1.8056,-1.055,5.4
381,709,2002,1.1,1.8056,-1.055,5.4
382,709,2004,1.2,1.8532,-0.795,5.1
383,709,2006,1.3,1.4533,-2.0425,5.666666667
384,741,2002,1.1,1.8056,-1.055,5.4
385,741,2004,2.3,1.8532,-0.795,5.1
386,741,2006,2.5,1.4533,-2.0425,5.666666667
387,741,2007,2.6,1.2303,-2.835,5.866666667
388,741,2008,2.6,1.5392,-2.47,4.833333333
389,741,2010,2.7,1.4914,-1.5675,2.033333333
390,741,2011,2.7,2.0694,-0.3875,5.133333333
391,895,1998,1.1,1.765,-0.795,5.633333333
392,895,2002,1.5,1.8056,-1.055,5.4
393,895,2004,1.7,1.8532,-0.795,5.1
394,895,2006,1.7,1.4533,-2.0425,5.666666667
395,895,2008,1.8,1.5392,-2.47,4.833333333
396,895,2010,1.8,1.4914,-1.5675,2.033333333
397,895,2011,1.9,2.0694,-0.3875,5.133333333
398,964,1998,3.3,1.765,-0.795,5.633333333
399,964,2002,3.3,1.8056,-1.055,5.4
400,964,2004,3.3,1.8532,-0.795,5.1
401,964,2006,3.3,1.4533,-2.0425,5.666666667
402,964,2008,3.3,1.5392,-2.47,4.833333333
403,964,2010,3.5,1.4914,-1.5675,2.033333333
404,964,2011,3.3,2.0694,-0.3875,5.133333333
405,944,1998,2.3,1.765,-0.795,5.633333333
406,944,2002,2.7,1.8056,-1.055,5.4
407,944,2004,3,1.8532,-0.795,5.1
408,944,2006,3.4,1.4533,-2.0425,5.666666667
409,944,2008,4,1.5392,-2.47,4.833333333
410,944,2010,4,1.4914,-1.5675,2.033333333
411,944,2011,4,2.0694,-0.3875,5.133333333
412,739,1998,2.2,1.765,-0.795,5.633333333
413,739,2002,2.2,1.8056,-1.055,5.4
414,739,2004,2.8,1.8532,-0.795,5.1
415,739,2006,2.9,1.4533,-2.0425,5.666666667
416,739,2008,3.2,1.5392,-2.47,4.833333333
417,739,2010,3.4,1.4914,-1.5675,2.033333333
418,739,2011,3.5,2.0694,-0.3875,5.133333333
419,737,1998,1.3,1.765,-0.795,5.633333333
420,737,2002,1.5,1.8056,-1.055,5.4
421,737,2004,2.3,1.8532,-0.795,5.1
422,737,2006,2.3,1.4533,-2.0425,5.666666667
423,737,2008,2,1.5392,-2.47,4.833333333
424,737,2010,2.5,1.4914,-1.5675,2.033333333
425,737,2011,2.5,2.0694,-0.3875,5.133333333
426,695,1998,26.8,1.765,-0.795,5.633333333
427,695,2002,27.4,1.8056,-1.055,5.4
428,695,2004,27.5,1.8532,-0.795,5.1
429,695,2006,27.6,1.4533,-2.0425,5.666666667
430,695,2008,28,1.5392,-2.47,4.833333333
431,695,2010,28.8,1.4914,-1.5675,2.033333333
432,695,2011,29.1,2.0694,-0.3875,5.133333333
433,1078,2004,8.4,1.8532,-0.795,5.1
434,1078,2006,8.4,1.4533,-2.0425,5.666666667
435,1078,2008,8.5,1.5392,-2.47,4.833333333
436,1078,2010,8.5,1.4914,-1.5675,2.033333333
437,1078,2011,8.4,2.0694,-0.3875,5.133333333
438,893,1998,4.7,1.765,-0.795,5.633333333
439,893,2002,4.6,1.8056,-1.055,5.4
440,893,2004,4.7,1.8532,-0.795,5.1
441,893,2006,4.9,1.4533,-2.0425,5.666666667
442,893,2008,5,1.5392,-2.47,4.833333333
443,893,2010,5.9,1.4914,-1.5675,2.033333333
444,893,2011,6,2.0694,-0.3875,5.133333333
445,500,1998,6.4,1.765,-0.795,5.633333333
446,500,2002,6.5,1.8056,-1.055,5.4
447,500,2004,6.5,1.8532,-0.795,5.1
448,500,2006,6.5,1.4533,-2.0425,5.666666667
449,500,2008,6.5,1.5392,-2.47,4.833333333
450,500,2010,6.3,1.4914,-1.5675,2.033333333
451,500,2011,6.1,2.0694,-0.3875,5.133333333
452,1113,2007,1.2,1.2303,-2.835,5.866666667
453,1113,2008,1.3,1.5392,-2.47,4.833333333
454,1113,2010,1.3,1.4914,-1.5675,2.033333333
455,1113,2011,1.3,2.0694,-0.3875,5.133333333
456,631,1998,17.5,1.765,-0.795,5.633333333
457,631,2002,17.6,1.8056,-1.055,5.4
458,631,2004,17.9,1.8532,-0.795,5.1
459,631,2006,18.1,1.4533,-2.0425,5.666666667
460,631,2008,18.4,1.5392,-2.47,4.833333333
461,631,2010,18.9,1.4914,-1.5675,2.033333333
462,631,2011,19.4,2.0694,-0.3875,5.133333333
463,943,1998,41.5,1.765,-0.795,5.633333333
464,943,2002,42.2,1.8056,-1.055,5.4
465,943,2004,42.2,1.8532,-0.795,5.1
466,943,2006,42.7,1.4533,-2.0425,5.666666667
467,943,2008,42.6,1.5392,-2.47,4.833333333
468,943,2010,43,1.4914,-1.5675,2.033333333
469,943,2011,43.6,2.0694,-0.3875,5.133333333
470,1134,2007,0.8,1.2303,-2.835,5.866666667
471,1134,2011,1.1,2.0694,-0.3875,5.133333333
472,891,1998,3.6,1.765,-0.795,5.633333333
473,891,2002,3.9,1.8056,-1.055,5.4
474,891,2004,4.4,1.8532,-0.795,5.1
475,891,2006,4.9,1.4533,-2.0425,5.666666667
476,891,2008,5.2,1.5392,-2.47,4.833333333
477,891,2010,5.5,1.4914,-1.5675,2.033333333
478,891,2011,5.8,2.0694,-0.3875,5.133333333
479,625,1998,3.3,1.765,-0.795,5.633333333
480,625,2002,3.3,1.8056,-1.055,5.4
481,625,2004,3.4,1.8532,-0.795,5.1
482,625,2006,3.4,1.4533,-2.0425,5.666666667
483,625,2008,3.5,1.5392,-2.47,4.833333333
484,625,2010,3.4,1.4914,-1.5675,2.033333333
485,625,2011,3.2,2.0694,-0.3875,5.133333333
486,951,1998,42.3,1.765,-0.795,5.633333333
487,951,2002,43.8,1.8056,-1.055,5.4
488,951,2004,44.5,1.8532,-0.795,5.1
489,951,2006,45.5,1.4533,-2.0425,5.666666667
490,951,2008,46.4,1.5392,-2.47,4.833333333
491,951,2010,47.3,1.4914,-1.5675,2.033333333
492,951,2011,48,2.0694,-0.3875,5.133333333
493,727,1998,7.9,1.765,-0.795,5.633333333
494,727,2002,7.9,1.8056,-1.055,5.4
495,727,2004,7.9,1.8532,-0.795,5.1
496,727,2006,7.9,1.4533,-2.0425,5.666666667
497,728,1998,12.2,1.765,-0.795,5.633333333
498,728,2002,13.5,1.8056,-1.055,5.4
499,728,2004,12.7,1.8532,-0.795,5.1
500,728,2006,12.8,1.4533,-2.0425,5.666666667
501,728,2008,13.2,1.5392,-2.47,4.833333333
502,728,2010,13.5,1.4914,-1.5675,2.033333333
503,728,2011,13.5,2.0694,-0.3875,5.133333333
504,729,1998,25.7,1.765,-0.795,5.633333333
505,729,2002,26.4,1.8056,-1.055,5.4
506,729,2004,26.4,1.8532,-0.795,5.1
507,729,2006,26.4,1.4533,-2.0425,5.666666667
508,729,2008,26.4,1.5392,-2.47,4.833333333
509,729,2010,26.5,1.4914,-1.5675,2.033333333
510,729,2011,26.3,2.0694,-0.3875,5.133333333
511,730,1998,7.7,1.765,-0.795,5.633333333
512,730,2002,7.8,1.8056,-1.055,5.4
513,730,2004,8.1,1.8532,-0.795,5.1
514,889,1998,1.6,1.765,-0.795,5.633333333
515,889,2002,2.1,1.8056,-1.055,5.4
516,889,2004,2.1,1.8532,-0.795,5.1
517,889,2006,2.3,1.4533,-2.0425,5.666666667
518,889,2008,2.6,1.5392,-2.47,4.833333333
519,889,2010,2.9,1.4914,-1.5675,2.033333333
520,889,2011,2.9,2.0694,-0.3875,5.133333333
521,886,1998,17.7,1.765,-0.795,5.633333333
